id|order_number|customer_id|showroom_id|product_id|quantity|discount|amount|delivered|card_type|card_number|txn_date|update_date|create_date
47|569220355-3|82|1|506|1|10891|0|1|switch|4936413799910006898|2018-01-02|2018-01-02 11:01:03|2018-01-02 11:01:03
48|986300139-2|799|2|122|1|8389|0|0|diners-club-international|36615063960556|2018-01-03|2018-01-03 23:25:33|2018-01-03 23:25:33
49|371472266-1|839|15|280|1|8098|0|0|mastercard|5384447836731842|2018-01-16|2018-01-16 12:17:33|2018-01-16 12:17:33
50|636406872-3|709|6|371|1|10355|0|0|visa-electron|4508020322240240|2018-01-21|2018-01-21 05:46:54|2018-01-21 05:46:54
51|321829064-3|867|7|261|1|11876|0|0|switch|675997826288922000|2018-01-28|2018-01-28 21:17:14|2018-01-28 21:17:14
52|003025470-1|107|13|161|1|11206|0|1|diners-club-enroute|201516213033055|2018-01-29|2018-01-29 07:33:41|2018-01-29 07:33:41
53|459974554-5|599|2|726|1|10470|0|0|visa-electron|4508472772081808|2018-01-28|2018-01-28 21:47:06|2018-01-28 21:47:06
54|431699081-0|713|10|982|1|12996|0|1|jcb|3538073284746833|2018-01-01|2018-01-01 11:50:54|2018-01-01 11:50:54
55|355526959-3|38|3|423|1|8732|0|1|switch|6331100371408944|2018-01-07|2018-01-07 11:23:02|2018-01-07 11:23:02
56|511994176-1|45|7|795|1|11162|0|1|maestro|5018419238749360689|2018-01-15|2018-01-15 16:52:17|2018-01-15 16:52:17
57|335933018-8|2|11|949|1|9355|0|0|jcb|3587386963067481|2018-01-20|2018-01-20 05:14:25|2018-01-20 05:14:25
58|779914031-3|195|2|302|1|8533|0|0|jcb|3553453396168763|2018-01-17|2018-01-17 01:26:07|2018-01-17 01:26:07
59|461362953-5|786|8|164|1|8603|0|0|americanexpress|337941008026998|2018-01-06|2018-01-06 02:11:11|2018-01-06 02:11:11
60|404532906-4|801|3|679|1|13413|0|1|jcb|3539206714851364|2018-01-06|2018-01-06 09:03:58|2018-01-06 09:03:58
61|628484362-3|648|2|391|1|10461|0|0|china-unionpay|5602251720182008612|2018-01-13|2018-01-13 16:43:44|2018-01-13 16:43:44
62|545736281-7|295|15|272|1|13876|0|1|diners-club-international|36095932993957|2018-01-24|2018-01-24 23:38:21|2018-01-24 23:38:21
63|585717117-2|490|14|350|1|5296|0|1|visa|4017959167376516|2018-01-25|2018-01-25 03:09:06|2018-01-25 03:09:06
64|840967396-7|182|13|909|1|10364|0|1|maestro|060472793358555368|2018-01-29|2018-01-29 10:08:52|2018-01-29 10:08:52
65|390485985-4|336|15|939|1|9346|0|0|diners-club-enroute|201921506193956|2018-01-09|2018-01-09 00:31:56|2018-01-09 00:31:56
66|251405547-4|566|10|59|1|10531|0|0|maestro|5018533918898101791|2018-01-07|2018-01-07 01:35:31|2018-01-07 01:35:31
67|113363572-5|376|2|944|1|7589|0|1|visa|4041374540223403|2018-01-21|2018-01-21 09:24:58|2018-01-21 09:24:58
68|278473735-7|235|11|11|1|10893|0|1|mastercard|5100171859674449|2018-01-10|2018-01-10 07:58:36|2018-01-10 07:58:36
69|075290344-6|394|4|413|1|9200|0|1|jcb|3588866519806929|2018-01-17|2018-01-17 14:30:45|2018-01-17 14:30:45
70|985958056-1|462|4|610|1|8151|0|0|china-unionpay|5602235616728237|2018-01-21|2018-01-21 01:04:51|2018-01-21 01:04:51
71|203712770-7|495|10|322|1|9854|0|0|maestro|675916272103597206|2018-01-13|2018-01-13 15:24:15|2018-01-13 15:24:15
72|410184523-9|614|7|305|1|8264|0|0|jcb|3575936138446970|2018-01-04|2018-01-04 04:54:56|2018-01-04 04:54:56
73|600623917-5|485|6|403|1|6630|0|1|jcb|3539255131984522|2018-01-15|2018-01-15 01:53:06|2018-01-15 01:53:06
74|734377324-0|532|13|772|1|12180|0|0|jcb|3555234087583470|2018-01-04|2018-01-04 23:22:27|2018-01-04 23:22:27
75|485275602-3|103|13|724|1|8321|0|1|jcb|3555412292826278|2018-01-21|2018-01-21 05:18:37|2018-01-21 05:18:37
76|745796083-X|650|4|202|1|6852|0|1|bankcard|5602220823063297|2018-01-12|2018-01-12 13:40:42|2018-01-12 13:40:42
77|645323953-1|260|6|417|1|7525|0|0|diners-club-enroute|201706411640666|2018-01-18|2018-01-18 10:09:34|2018-01-18 10:09:34
78|023001903-X|345|6|419|1|5418|0|0|bankcard|5602238351437790|2018-01-07|2018-01-07 11:45:16|2018-01-07 11:45:16
79|598261325-8|217|1|36|1|10413|0|1|jcb|3533670324980622|2018-01-24|2018-01-24 22:19:54|2018-01-24 22:19:54
80|005149021-8|316|13|619|1|7678|0|1|instapayment|6397848309283448|2018-01-05|2018-01-05 05:56:32|2018-01-05 05:56:32
81|592199134-1|379|9|949|1|8020|0|1|jcb|3578906887109340|2018-01-01|2018-01-01 15:21:49|2018-01-01 15:21:49
82|271134088-0|159|3|374|1|11305|0|1|jcb|3535585408886529|2018-01-10|2018-01-10 06:59:39|2018-01-10 06:59:39
83|495398847-7|256|1|406|1|11439|0|0|americanexpress|375556944269230|2018-01-22|2018-01-22 17:44:44|2018-01-22 17:44:44
84|280835440-1|196|2|595|1|11713|0|0|china-unionpay|56022362025109844|2018-01-25|2018-01-25 07:27:59|2018-01-25 07:27:59
85|383517468-1|485|5|322|1|6877|0|1|jcb|3537598110498770|2018-01-24|2018-01-24 13:16:23|2018-01-24 13:16:23
86|271505178-6|714|6|925|1|11961|0|1|jcb|3536510784757044|2018-01-27|2018-01-27 22:09:13|2018-01-27 22:09:13
87|794583278-4|615|11|102|1|12383|0|0|americanexpress|377701004331755|2018-01-04|2018-01-04 06:17:06|2018-01-04 06:17:06
88|784277298-3|556|15|846|1|11509|0|1|jcb|3585184790806524|2018-01-27|2018-01-27 14:13:57|2018-01-27 14:13:57
89|907346188-X|846|4|837|1|7356|0|0|mastercard|5010126781381645|2018-01-25|2018-01-25 08:05:04|2018-01-25 08:05:04
90|969063532-8|166|15|118|1|11924|0|1|jcb|3575025402381558|2018-01-13|2018-01-13 23:53:46|2018-01-13 23:53:46
91|629801048-3|20|4|906|1|11717|0|0|visa|4041378885099|2018-01-23|2018-01-23 09:45:45|2018-01-23 09:45:45
92|601543438-4|269|6|18|1|9798|0|1|jcb|3554686465790533|2018-01-07|2018-01-07 12:58:32|2018-01-07 12:58:32
93|952979451-7|689|14|192|1|8439|0|1|jcb|3543750682378557|2018-01-19|2018-01-19 12:44:41|2018-01-19 12:44:41
94|601190780-6|613|1|214|1|8607|0|1|americanexpress|337941256918755|2018-01-01|2018-01-01 07:36:26|2018-01-01 07:36:26
95|538156395-7|178|6|765|1|7927|0|0|diners-club-carte-blanche|30371569392169|2018-01-23|2018-01-23 19:34:31|2018-01-23 19:34:31
96|613413462-7|401|12|256|1|9180|0|0|bankcard|5602229410735118|2018-01-14|2018-01-14 03:44:16|2018-01-14 03:44:16
97|598943630-0|689|5|14|1|11370|0|0|mastercard|5152552076226682|2018-01-30|2018-01-30 08:30:46|2018-01-30 08:30:46
98|710640615-5|512|3|837|1|13239|0|0|jcb|3576056906147996|2018-01-13|2018-01-13 05:01:34|2018-01-13 05:01:34
99|907503198-X|16|10|31|1|9334|0|0|jcb|3581389257314755|2018-01-20|2018-01-20 05:19:09|2018-01-20 05:19:09
100|247560861-7|345|9|406|1|9362|0|1|jcb|3568452221738728|2018-01-16|2018-01-16 12:32:07|2018-01-16 12:32:07
101|257164624-9|175|6|576|1|9228|0|0|visa-electron|4917948162660728|2018-01-23|2018-01-23 04:55:14|2018-01-23 04:55:14
102|155756781-6|243|15|54|1|11584|0|1|diners-club-enroute|201811810215621|2018-01-05|2018-01-05 08:14:08|2018-01-05 08:14:08
103|565642701-3|966|14|599|1|12131|0|0|americanexpress|337941489319623|2018-01-13|2018-01-13 04:28:11|2018-01-13 04:28:11
104|209469708-8|663|13|571|1|8812|0|0|jcb|3565573609625618|2018-01-24|2018-01-24 15:29:29|2018-01-24 15:29:29
105|503617201-9|430|12|899|1|5968|0|0|solo|6767564107819182|2018-01-06|2018-01-06 16:50:03|2018-01-06 16:50:03
106|440317287-3|259|11|816|1|9150|0|1|laser|67090365571451415|2018-01-15|2018-01-15 03:30:45|2018-01-15 03:30:45
107|157144379-7|134|8|282|1|8149|0|0|maestro|5038338615483774967|2018-01-02|2018-01-02 10:10:47|2018-01-02 10:10:47
108|508046669-3|999|7|356|1|8416|0|1|instapayment|6373243901301210|2018-01-12|2018-01-12 05:52:49|2018-01-12 05:52:49
109|032553796-8|712|14|441|1|10445|0|1|bankcard|5602221958856331|2018-01-28|2018-01-28 06:23:07|2018-01-28 06:23:07
110|549736825-5|218|15|952|1|7029|0|0|jcb|3548862833362482|2018-01-04|2018-01-04 20:08:56|2018-01-04 20:08:56
111|896529060-0|48|6|988|1|10466|0|0|visa|4041377817691723|2018-01-10|2018-01-10 22:54:14|2018-01-10 22:54:14
112|223797433-0|395|10|248|1|11256|0|0|jcb|3547212971953448|2018-01-12|2018-01-12 06:41:37|2018-01-12 06:41:37
113|127259334-7|731|8|884|1|7334|0|1|diners-club-carte-blanche|30354529830056|2018-01-17|2018-01-17 09:54:56|2018-01-17 09:54:56
114|458064005-5|881|14|551|1|9770|0|0|mastercard|5100146961691978|2018-01-08|2018-01-08 10:33:47|2018-01-08 10:33:47
115|884640086-0|430|11|46|1|9510|0|0|laser|6706776225566446|2018-01-05|2018-01-05 09:14:47|2018-01-05 09:14:47
116|810961714-X|634|13|177|1|10199|0|1|laser|670929117727025801|2018-01-12|2018-01-12 00:18:29|2018-01-12 00:18:29
117|472335472-7|37|15|54|1|9247|0|1|visa-electron|4026479736231448|2018-01-12|2018-01-12 11:30:26|2018-01-12 11:30:26
118|780642342-7|320|7|578|1|10790|0|1|jcb|3557802120297684|2018-01-01|2018-01-01 12:46:00|2018-01-01 12:46:00
119|830857204-9|648|6|986|1|9673|0|1|laser|63041837161782424|2018-01-03|2018-01-03 14:45:27|2018-01-03 14:45:27
120|821407224-7|18|10|552|1|8083|0|0|jcb|3555274361559119|2018-01-13|2018-01-13 08:52:00|2018-01-13 08:52:00
121|839350991-2|720|7|591|1|10458|0|0|jcb|3528669844314244|2018-01-05|2018-01-05 08:55:56|2018-01-05 08:55:56
122|175460451-X|993|10|119|1|10481|0|0|jcb|3563115046989876|2018-01-14|2018-01-14 13:27:43|2018-01-14 13:27:43
123|119357023-9|675|3|85|1|7626|0|0|jcb|3579634808622584|2018-01-14|2018-01-14 01:46:02|2018-01-14 01:46:02
124|907581263-9|554|7|896|1|10557|0|0|maestro|0604648636395200|2018-01-18|2018-01-18 18:02:52|2018-01-18 18:02:52
125|882632054-3|212|1|29|1|8461|0|1|maestro|5020497535216231|2018-01-27|2018-01-27 20:20:34|2018-01-27 20:20:34
126|369308117-4|975|14|607|1|9836|0|1|bankcard|5602251042167197|2018-01-15|2018-01-15 18:31:54|2018-01-15 18:31:54
127|873124368-1|245|3|920|1|12121|0|1|mastercard|5414075496346215|2018-01-02|2018-01-02 03:21:49|2018-01-02 03:21:49
128|140324231-3|250|6|302|1|7433|0|0|jcb|3535619987487712|2018-01-01|2018-01-01 16:36:50|2018-01-01 16:36:50
129|507925234-0|20|14|861|1|9181|0|1|mastercard|5048370028607455|2018-01-10|2018-01-10 21:43:20|2018-01-10 21:43:20
130|185089252-0|805|11|72|1|11617|0|1|bankcard|5602252230315689|2018-01-16|2018-01-16 07:06:39|2018-01-16 07:06:39
131|487389909-5|136|1|187|1|9051|0|0|visa-electron|4026537494080578|2018-01-28|2018-01-28 10:15:56|2018-01-28 10:15:56
132|596009039-2|101|1|280|1|8162|0|0|jcb|3560709414194953|2018-01-11|2018-01-11 23:57:42|2018-01-11 23:57:42
133|567751885-9|394|6|688|1|6914|0|1|jcb|3540730332888737|2018-01-24|2018-01-24 18:46:26|2018-01-24 18:46:26
134|187117215-2|681|13|529|1|8632|0|1|jcb|3562119021517786|2018-01-29|2018-01-29 12:54:52|2018-01-29 12:54:52
135|986078005-6|368|10|246|1|10000|0|1|jcb|3542289810815629|2018-01-06|2018-01-06 09:39:37|2018-01-06 09:39:37
136|401419363-2|469|8|138|1|8226|0|1|diners-club-carte-blanche|30335337870905|2018-01-24|2018-01-24 23:39:04|2018-01-24 23:39:04
137|869185551-7|271|9|967|1|9195|0|1|jcb|3551677065556484|2018-01-07|2018-01-07 17:02:05|2018-01-07 17:02:05
138|620743035-2|572|10|313|1|9291|0|1|jcb|3546196859733702|2018-01-05|2018-01-05 15:18:22|2018-01-05 15:18:22
139|997717552-7|265|11|848|1|9507|0|0|mastercard|5100137019128048|2018-01-09|2018-01-09 04:16:52|2018-01-09 04:16:52
140|744139173-3|899|3|590|1|7161|0|1|jcb|3550196546458948|2018-01-02|2018-01-02 07:20:12|2018-01-02 07:20:12
141|996420601-1|79|1|466|1|10017|0|1|jcb|3588879705180355|2018-01-02|2018-01-02 22:50:46|2018-01-02 22:50:46
142|788309326-6|932|11|349|1|7701|0|0|laser|6304315884609916074|2018-01-05|2018-01-05 23:32:15|2018-01-05 23:32:15
143|623018138-X|84|13|203|1|8327|0|1|instapayment|6372874554593553|2018-01-04|2018-01-04 03:04:10|2018-01-04 03:04:10
144|729378288-8|80|14|95|1|8654|0|0|laser|63040202333908657|2018-01-17|2018-01-17 14:21:53|2018-01-17 14:21:53
145|030253924-7|915|6|788|1|10917|0|0|jcb|3571428077464721|2018-01-01|2018-01-01 20:25:22|2018-01-01 20:25:22
146|541333364-1|812|15|252|1|6712|0|1|mastercard|5345823155531641|2018-01-08|2018-01-08 20:37:36|2018-01-08 20:37:36
147|434973779-0|74|3|569|1|8569|0|0|switch|4911172833156729|2018-01-17|2018-01-17 01:00:25|2018-01-17 01:00:25
148|681306757-5|602|1|802|1|10691|0|1|maestro|0604660539945106|2018-01-11|2018-01-11 23:41:21|2018-01-11 23:41:21
149|138154790-7|807|10|691|1|12084|0|0|jcb|3531614722711397|2018-01-02|2018-01-02 13:33:37|2018-01-02 13:33:37
150|650743821-9|654|8|676|1|9186|0|1|jcb|3540288781895349|2018-01-02|2018-01-02 12:31:28|2018-01-02 12:31:28
151|090641454-7|876|5|86|1|8243|0|1|jcb|3568008429219497|2018-01-08|2018-01-08 17:19:46|2018-01-08 17:19:46
152|001766648-1|1000|10|888|1|10756|0|0|diners-club-enroute|201466053080909|2018-01-10|2018-01-10 17:55:50|2018-01-10 17:55:50
153|242511100-X|617|13|353|1|14322|0|0|jcb|3559476020022720|2018-01-30|2018-01-30 02:26:09|2018-01-30 02:26:09
154|964644277-3|117|7|591|1|10820|0|0|mastercard|5429959342039426|2018-01-24|2018-01-24 03:38:02|2018-01-24 03:38:02
155|509831205-1|956|3|224|1|13411|0|0|bankcard|5602222289959968|2018-01-28|2018-01-28 10:21:06|2018-01-28 10:21:06
156|011274241-6|222|15|101|1|8545|0|1|jcb|3574183988506501|2018-01-01|2018-01-01 02:14:56|2018-01-01 02:14:56
157|382855413-X|403|7|15|1|9135|0|1|maestro|676260463950599375|2018-01-09|2018-01-09 03:12:04|2018-01-09 03:12:04
158|917879996-1|26|11|303|1|11505|0|0|jcb|3543955069564576|2018-01-03|2018-01-03 11:33:53|2018-01-03 11:33:53
159|709879213-6|609|15|431|1|10385|0|0|jcb|3563066880809789|2018-01-29|2018-01-29 09:50:22|2018-01-29 09:50:22
160|872166846-9|820|7|637|1|11537|0|0|jcb|3529360880643766|2018-01-25|2018-01-25 09:53:42|2018-01-25 09:53:42
161|929472818-8|88|11|591|1|10313|0|1|maestro|6762274678645283764|2018-01-12|2018-01-12 14:08:47|2018-01-12 14:08:47
162|297457031-3|486|2|965|1|10089|0|0|visa-electron|4913836049051878|2018-01-30|2018-01-30 02:45:18|2018-01-30 02:45:18
163|261641049-4|848|12|803|1|6968|0|0|china-unionpay|56022371414182221|2018-01-15|2018-01-15 07:38:13|2018-01-15 07:38:13
164|202588055-3|311|5|949|1|10521|0|0|laser|6706191041204380|2018-01-28|2018-01-28 06:58:45|2018-01-28 06:58:45
165|470271838-X|209|13|828|1|9712|0|0|americanexpress|372301950420630|2018-01-11|2018-01-11 06:54:58|2018-01-11 06:54:58
166|326026414-0|284|5|621|1|10990|0|0|visa-electron|4508021612356043|2018-01-09|2018-01-09 05:23:20|2018-01-09 05:23:20
167|138539242-8|978|2|847|1|6104|0|0|jcb|3549867857611218|2018-01-08|2018-01-08 13:28:28|2018-01-08 13:28:28
168|867831228-9|143|14|929|1|9697|0|1|maestro|6759585142900005586|2018-01-17|2018-01-17 12:30:15|2018-01-17 12:30:15
169|514860514-6|60|2|872|1|10341|0|0|jcb|3530887291478876|2018-01-29|2018-01-29 14:20:26|2018-01-29 14:20:26
170|319141085-6|606|11|107|1|9211|0|0|jcb|3584177987094327|2018-01-27|2018-01-27 02:49:09|2018-01-27 02:49:09
171|764669480-0|598|9|478|1|8862|0|0|visa-electron|4917181732595469|2018-01-01|2018-01-01 05:01:04|2018-01-01 05:01:04
172|763174922-1|357|9|881|1|4821|0|1|americanexpress|372301232313371|2018-01-19|2018-01-19 11:15:19|2018-01-19 11:15:19
173|769448619-8|120|6|208|1|11262|0|1|diners-club-carte-blanche|30308272520108|2018-01-11|2018-01-11 09:04:01|2018-01-11 09:04:01
174|988461461-X|372|15|537|1|12824|0|1|jcb|3560191137365402|2018-01-01|2018-01-01 13:19:44|2018-01-01 13:19:44
175|366812700-X|461|8|741|1|4729|0|0|jcb|3583034701793935|2018-01-13|2018-01-13 18:39:57|2018-01-13 18:39:57
176|624671622-9|496|14|495|1|7552|0|1|maestro|502038394431838703|2018-01-18|2018-01-18 00:10:08|2018-01-18 00:10:08
177|105173813-X|379|9|642|1|8266|0|1|jcb|3566025183757852|2018-01-20|2018-01-20 11:09:14|2018-01-20 11:09:14
178|372675211-0|209|2|757|1|7947|0|0|switch|4903376364014005|2018-01-06|2018-01-06 05:46:41|2018-01-06 05:46:41
179|019452278-4|985|13|368|1|6960|0|0|jcb|3531138589504158|2018-01-19|2018-01-19 01:31:27|2018-01-19 01:31:27
180|664330542-X|429|15|378|1|12199|0|1|mastercard|5100178701923445|2018-01-23|2018-01-23 06:41:33|2018-01-23 06:41:33
181|100883345-2|86|5|729|1|14391|0|0|jcb|3585695859577920|2018-01-02|2018-01-02 21:03:33|2018-01-02 21:03:33
182|578604225-1|424|13|838|1|16589|0|0|diners-club-carte-blanche|30440266154907|2018-01-06|2018-01-06 09:32:51|2018-01-06 09:32:51
183|935021606-X|162|11|300|1|10586|0|0|visa|4041593888092|2018-01-05|2018-01-05 05:04:14|2018-01-05 05:04:14
184|258215699-X|390|4|266|1|10918|0|0|jcb|3528688565955266|2018-01-16|2018-01-16 03:50:47|2018-01-16 03:50:47
185|854117412-3|836|15|40|1|7967|0|0|jcb|3554992765089059|2018-01-16|2018-01-16 20:00:18|2018-01-16 20:00:18
186|084347831-4|970|4|22|1|10408|0|1|visa-electron|4508456266435513|2018-01-30|2018-01-30 19:02:14|2018-01-30 19:02:14
187|587995142-1|762|15|650|1|7793|0|1|solo|6767717196406467793|2018-01-22|2018-01-22 07:47:54|2018-01-22 07:47:54
188|089192123-0|883|14|464|1|5551|0|0|jcb|3546365189866512|2018-01-29|2018-01-29 07:35:47|2018-01-29 07:35:47
189|531075205-6|504|15|594|1|11820|0|1|mastercard|5548482233641826|2018-01-29|2018-01-29 03:35:26|2018-01-29 03:35:26
190|567648145-5|540|6|870|1|9572|0|0|jcb|3552409634666670|2018-01-10|2018-01-10 09:56:40|2018-01-10 09:56:40
191|163336776-2|969|9|837|1|10616|0|1|maestro|6304301566014587|2018-01-13|2018-01-13 05:19:39|2018-01-13 05:19:39
192|408424347-7|833|8|479|1|11505|0|1|jcb|3554155274963939|2018-01-30|2018-01-30 06:22:41|2018-01-30 06:22:41
193|888760001-5|535|10|977|1|8836|0|0|jcb|3586409196136575|2018-01-17|2018-01-17 19:33:59|2018-01-17 19:33:59
194|144969369-5|175|5|565|1|10764|0|0|maestro|6762148859593137087|2018-01-14|2018-01-14 12:58:58|2018-01-14 12:58:58
195|518938381-4|711|12|115|1|7483|0|1|switch|491109130805693476|2018-01-03|2018-01-03 19:03:03|2018-01-03 19:03:03
196|616560590-7|973|5|718|1|6450|0|0|diners-club-enroute|201844675981847|2018-01-02|2018-01-02 13:52:56|2018-01-02 13:52:56
197|366157756-5|731|1|178|1|11912|0|0|visa-electron|4175007312855899|2018-01-11|2018-01-11 19:34:53|2018-01-11 19:34:53
198|688602196-6|722|1|413|1|12654|0|0|diners-club-carte-blanche|30099331245361|2018-01-20|2018-01-20 05:11:32|2018-01-20 05:11:32
199|787462787-3|99|8|354|1|13445|0|1|jcb|3576617156635681|2018-01-18|2018-01-18 00:07:44|2018-01-18 00:07:44
200|325404032-5|118|6|819|1|6632|0|0|china-unionpay|5602230434018359209|2018-01-24|2018-01-24 16:30:36|2018-01-24 16:30:36
201|252406126-4|773|8|863|1|10150|0|1|jcb|3557682551662923|2018-01-26|2018-01-26 15:45:27|2018-01-26 15:45:27
202|872832411-0|602|6|231|1|10380|0|1|jcb|3556019964618922|2018-01-19|2018-01-19 10:05:11|2018-01-19 10:05:11
203|433025729-7|760|4|960|1|12504|0|1|jcb|3528763644070641|2018-01-18|2018-01-18 15:43:22|2018-01-18 15:43:22
204|578461569-6|261|3|339|1|9077|0|1|jcb|3540796674423250|2018-01-27|2018-01-27 10:51:57|2018-01-27 10:51:57
